year,Esau
1880,5
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,5
1894,6
1895,0
1896,5
1897,6
1898,0
1899,0
1900,7
1901,0
1902,7
1903,0
1904,0
1905,0
1906,0
1907,7
1908,6
1909,7
1910,0
1911,6
1912,7
1913,13
1914,14
1915,13
1916,24
1917,19
1918,17
1919,14
1920,17
1921,16
1922,20
1923,18
1924,11
1925,22
1926,19
1927,7
1928,18
1929,8
1930,11
1931,5
1932,19
1933,12
1934,22
1935,18
1936,14
1937,14
1938,13
1939,22
1940,14
1941,18
1942,19
1943,11
1944,14
1945,14
1946,16
1947,18
1948,16
1949,19
1950,21
1951,19
1952,11
1953,14
1954,14
1955,13
1956,15
1957,22
1958,13
1959,13
1960,10
1961,11
1962,11
1963,12
1964,13
1965,12
1966,15
1967,12
1968,8
1969,11
1970,13
1971,7
1972,10
1973,18
1974,13
1975,15
1976,14
1977,17
1978,17
1979,24
1980,27
1981,28
1982,25
1983,19
1984,12
1985,22
1986,20
1987,22
1988,31
1989,39
1990,44
1991,35
1992,37
1993,40
1994,25
1995,31
1996,40
1997,39
1998,39
1999,38
2000,73
2001,58
2002,46
2003,55
2004,63
2005,63
2006,73
2007,82
2008,72
2009,59
2010,57
2011,47
2012,47
