year,Emelie
1880,10
1881,6
1882,11
1883,6
1884,7
1885,7
1886,15
1887,0
1888,6
1889,12
1890,14
1891,8
1892,8
1893,8
1894,8
1895,11
1896,7
1897,10
1898,5
1899,0
1900,8
1901,8
1902,6
1903,6
1904,12
1905,6
1906,5
1907,6
1908,5
1909,9
1910,0
1911,7
1912,8
1913,5
1914,12
1915,13
1916,9
1917,21
1918,13
1919,13
1920,18
1921,18
1922,12
1923,13
1924,20
1925,14
1926,8
1927,6
1928,9
1929,13
1930,10
1931,0
1932,0
1933,5
1934,8
1935,22
1936,29
1937,26
1938,16
1939,15
1940,15
1941,18
1942,10
1943,10
1944,13
1945,16
1946,6
1947,9
1948,11
1949,0
1950,8
1951,9
1952,0
1953,6
1954,6
1955,8
1956,6
1957,0
1958,9
1959,0
1960,9
1961,6
1962,6
1963,5
1964,0
1965,5
1966,0
1967,0
1968,0
1969,9
1970,8
1971,0
1972,6
1973,0
1974,11
1975,10
1976,6
1977,7
1978,10
1979,9
1980,10
1981,9
1982,18
1983,9
1984,16
1985,9
1986,7
1987,13
1988,10
1989,19
1990,21
1991,20
1992,29
1993,36
1994,35
1995,37
1996,33
1997,30
1998,46
1999,44
2000,38
2001,43
2002,62
2003,76
2004,70
2005,63
2006,55
2007,63
2008,55
2009,60
2010,61
2011,53
2012,36
