year,Clemmie
1880,12
1881,8
1882,16
1883,13
1884,22
1885,12
1886,21
1887,10
1888,22
1889,22
1890,23
1891,20
1892,43
1893,22
1894,33
1895,24
1896,36
1897,30
1898,28
1899,35
1900,38
1901,30
1902,26
1903,33
1904,31
1905,27
1906,31
1907,44
1908,25
1909,51
1910,41
1911,41
1912,62
1913,44
1914,66
1915,67
1916,77
1917,82
1918,70
1919,58
1920,68
1921,71
1922,73
1923,75
1924,56
1925,62
1926,73
1927,70
1928,63
1929,52
1930,70
1931,56
1932,45
1933,59
1934,53
1935,59
1936,38
1937,45
1938,52
1939,34
1940,51
1941,50
1942,43
1943,42
1944,36
1945,51
1946,45
1947,52
1948,51
1949,39
1950,42
1951,45
1952,42
1953,28
1954,28
1955,33
1956,29
1957,24
1958,27
1959,42
1960,19
1961,19
1962,10
1963,22
1964,10
1965,20
1966,6
1967,13
1968,9
1969,14
1970,14
1971,8
1972,14
1973,9
1974,0
1975,7
1976,0
1977,0
1978,5
1979,5
1980,0
1981,5
1982,5
1983,0
1984,0
1985,5
1986,0
1987,0
1988,8
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
