year,Corrinne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,8
1892,0
1893,6
1894,6
1895,0
1896,0
1897,5
1898,12
1899,5
1900,8
1901,5
1902,6
1903,0
1904,7
1905,8
1906,7
1907,0
1908,8
1909,11
1910,13
1911,6
1912,9
1913,18
1914,14
1915,26
1916,18
1917,15
1918,20
1919,19
1920,23
1921,23
1922,19
1923,28
1924,47
1925,33
1926,37
1927,36
1928,44
1929,30
1930,46
1931,30
1932,22
1933,21
1934,20
1935,22
1936,23
1937,18
1938,18
1939,17
1940,13
1941,11
1942,11
1943,22
1944,15
1945,15
1946,8
1947,15
1948,13
1949,14
1950,17
1951,21
1952,22
1953,17
1954,15
1955,19
1956,20
1957,10
1958,19
1959,14
1960,18
1961,29
1962,15
1963,15
1964,21
1965,12
1966,14
1967,9
1968,12
1969,15
1970,18
1971,10
1972,10
1973,5
1974,15
1975,9
1976,13
1977,20
1978,41
1979,29
1980,31
1981,29
1982,24
1983,22
1984,21
1985,25
1986,22
1987,15
1988,16
1989,28
1990,34
1991,36
1992,31
1993,21
1994,25
1995,22
1996,24
1997,17
1998,23
1999,15
2000,22
2001,18
2002,12
2003,17
2004,8
2005,9
2006,8
2007,7
2008,0
2009,9
2010,5
2011,5
2012,6
