year,Carma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,5
1907,5
1908,6
1909,9
1910,5
1911,7
1912,10
1913,13
1914,23
1915,25
1916,23
1917,27
1918,19
1919,27
1920,25
1921,31
1922,49
1923,26
1924,28
1925,43
1926,51
1927,53
1928,61
1929,55
1930,58
1931,48
1932,59
1933,56
1934,73
1935,75
1936,68
1937,56
1938,59
1939,60
1940,63
1941,57
1942,67
1943,51
1944,47
1945,44
1946,56
1947,69
1948,60
1949,53
1950,62
1951,72
1952,50
1953,50
1954,72
1955,57
1956,65
1957,53
1958,67
1959,75
1960,74
1961,76
1962,58
1963,57
1964,48
1965,50
1966,43
1967,54
1968,48
1969,38
1970,53
1971,49
1972,48
1973,42
1974,38
1975,37
1976,23
1977,24
1978,16
1979,23
1980,20
1981,23
1982,17
1983,25
1984,20
1985,12
1986,12
1987,7
1988,10
1989,11
1990,12
1991,6
1992,6
1993,0
1994,12
1995,0
1996,12
1997,0
1998,14
1999,13
2000,7
2001,11
2002,15
2003,14
2004,6
2005,43
2006,42
2007,37
2008,42
2009,38
2010,37
2011,30
2012,35
