year,Chloe
1880,20
1881,14
1882,33
1883,19
1884,36
1885,34
1886,34
1887,41
1888,62
1889,64
1890,60
1891,48
1892,76
1893,76
1894,67
1895,73
1896,53
1897,50
1898,65
1899,54
1900,72
1901,37
1902,42
1903,56
1904,52
1905,42
1906,52
1907,43
1908,42
1909,40
1910,50
1911,69
1912,69
1913,70
1914,68
1915,119
1916,127
1917,104
1918,99
1919,75
1920,98
1921,92
1922,74
1923,72
1924,78
1925,62
1926,64
1927,67
1928,63
1929,75
1930,94
1931,60
1932,81
1933,73
1934,78
1935,71
1936,91
1937,83
1938,81
1939,66
1940,75
1941,78
1942,66
1943,68
1944,47
1945,34
1946,57
1947,49
1948,38
1949,31
1950,37
1951,38
1952,26
1953,42
1954,30
1955,25
1956,24
1957,19
1958,16
1959,39
1960,21
1961,17
1962,24
1963,21
1964,22
1965,16
1966,15
1967,20
1968,23
1969,29
1970,25
1971,27
1972,30
1973,45
1974,52
1975,64
1976,86
1977,93
1978,117
1979,100
1980,139
1981,129
1982,182
1983,180
1984,308
1985,351
1986,464
1987,506
1988,475
1989,873
1990,1369
1991,1670
1992,1893
1993,1957
1994,2078
1995,2332
1996,2787
1997,3015
1998,3799
1999,4971
2000,7105
2001,8187
2002,8915
2003,9086
2004,8790
2005,9597
2006,10412
2007,10757
2008,11828
2009,11905
2010,11748
2011,10977
2012,9643
