year,Clarissa
1880,10
1881,0
1882,13
1883,17
1884,18
1885,11
1886,15
1887,17
1888,12
1889,20
1890,25
1891,18
1892,18
1893,18
1894,26
1895,22
1896,23
1897,22
1898,26
1899,23
1900,20
1901,33
1902,25
1903,21
1904,32
1905,15
1906,21
1907,28
1908,25
1909,32
1910,27
1911,36
1912,50
1913,38
1914,50
1915,68
1916,79
1917,86
1918,83
1919,79
1920,81
1921,78
1922,68
1923,67
1924,67
1925,68
1926,59
1927,62
1928,57
1929,56
1930,51
1931,54
1932,51
1933,49
1934,54
1935,46
1936,60
1937,40
1938,46
1939,60
1940,59
1941,61
1942,54
1943,62
1944,57
1945,54
1946,62
1947,97
1948,86
1949,88
1950,91
1951,99
1952,99
1953,135
1954,127
1955,158
1956,172
1957,182
1958,163
1959,178
1960,204
1961,236
1962,234
1963,211
1964,263
1965,200
1966,222
1967,218
1968,260
1969,276
1970,323
1971,327
1972,304
1973,304
1974,318
1975,378
1976,384
1977,350
1978,365
1979,421
1980,423
1981,524
1982,542
1983,621
1984,633
1985,640
1986,762
1987,696
1988,776
1989,764
1990,858
1991,909
1992,1140
1993,1074
1994,1191
1995,1200
1996,1157
1997,1090
1998,1004
1999,975
2000,974
2001,951
2002,870
2003,807
2004,852
2005,736
2006,673
2007,644
2008,545
2009,499
2010,529
2011,479
2012,452
