year,Collis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,7
1900,10
1901,0
1902,5
1903,0
1904,0
1905,5
1906,0
1907,5
1908,0
1909,6
1910,0
1911,6
1912,12
1913,10
1914,13
1915,29
1916,19
1917,13
1918,14
1919,20
1920,20
1921,19
1922,19
1923,23
1924,27
1925,17
1926,23
1927,18
1928,12
1929,12
1930,22
1931,19
1932,18
1933,20
1934,17
1935,17
1936,14
1937,22
1938,17
1939,12
1940,14
1941,13
1942,14
1943,17
1944,22
1945,16
1946,20
1947,27
1948,28
1949,16
1950,16
1951,15
1952,30
1953,17
1954,20
1955,17
1956,17
1957,17
1958,9
1959,13
1960,11
1961,16
1962,11
1963,11
1964,14
1965,13
1966,11
1967,10
1968,7
1969,14
1970,15
1971,5
1972,15
1973,8
1974,14
1975,8
1976,10
1977,9
1978,11
1979,19
1980,11
1981,8
1982,9
1983,6
1984,7
1985,6
1986,5
1987,0
1988,6
1989,0
1990,11
1991,7
1992,7
1993,8
1994,8
1995,12
1996,0
1997,8
1998,0
1999,0
2000,0
2001,5
2002,8
2003,9
2004,7
2005,8
2006,0
2007,5
2008,0
2009,5
2010,0
2011,0
2012,0
