year,Carlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,6
1909,6
1910,5
1911,0
1912,0
1913,11
1914,8
1915,15
1916,17
1917,17
1918,15
1919,17
1920,16
1921,16
1922,11
1923,13
1924,28
1925,19
1926,19
1927,24
1928,19
1929,31
1930,38
1931,23
1932,26
1933,29
1934,20
1935,24
1936,37
1937,32
1938,37
1939,36
1940,39
1941,46
1942,52
1943,68
1944,60
1945,47
1946,54
1947,58
1948,39
1949,36
1950,50
1951,37
1952,43
1953,41
1954,39
1955,42
1956,51
1957,47
1958,32
1959,40
1960,39
1961,53
1962,54
1963,40
1964,43
1965,49
1966,38
1967,46
1968,39
1969,36
1970,42
1971,38
1972,22
1973,28
1974,31
1975,44
1976,35
1977,26
1978,28
1979,26
1980,38
1981,47
1982,45
1983,47
1984,59
1985,69
1986,62
1987,72
1988,67
1989,61
1990,55
1991,68
1992,74
1993,72
1994,78
1995,58
1996,57
1997,63
1998,42
1999,52
2000,66
2001,57
2002,56
2003,48
2004,57
2005,46
2006,42
2007,45
2008,44
2009,44
2010,33
2011,33
2012,38
