year,Cherry
1880,6
1881,5
1882,7
1883,5
1884,7
1885,10
1886,0
1887,0
1888,7
1889,5
1890,10
1891,8
1892,10
1893,13
1894,10
1895,8
1896,15
1897,10
1898,13
1899,11
1900,13
1901,8
1902,13
1903,8
1904,15
1905,6
1906,10
1907,12
1908,11
1909,11
1910,18
1911,13
1912,20
1913,12
1914,26
1915,38
1916,31
1917,33
1918,50
1919,34
1920,39
1921,54
1922,42
1923,43
1924,66
1925,82
1926,52
1927,58
1928,68
1929,82
1930,79
1931,79
1932,102
1933,83
1934,94
1935,99
1936,68
1937,81
1938,90
1939,87
1940,117
1941,93
1942,144
1943,151
1944,197
1945,227
1946,323
1947,359
1948,353
1949,300
1950,246
1951,270
1952,299
1953,270
1954,267
1955,251
1956,302
1957,299
1958,238
1959,216
1960,227
1961,185
1962,163
1963,161
1964,175
1965,140
1966,112
1967,174
1968,145
1969,151
1970,157
1971,155
1972,142
1973,139
1974,129
1975,117
1976,106
1977,128
1978,103
1979,103
1980,108
1981,87
1982,89
1983,67
1984,82
1985,67
1986,72
1987,59
1988,58
1989,45
1990,53
1991,60
1992,54
1993,42
1994,34
1995,30
1996,31
1997,29
1998,32
1999,22
2000,31
2001,21
2002,15
2003,19
2004,22
2005,29
2006,31
2007,38
2008,32
2009,24
2010,21
2011,26
2012,39
