year,Coreen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,6
1913,0
1914,5
1915,5
1916,7
1917,7
1918,9
1919,7
1920,9
1921,8
1922,11
1923,6
1924,8
1925,14
1926,8
1927,7
1928,11
1929,11
1930,9
1931,8
1932,14
1933,13
1934,12
1935,13
1936,17
1937,13
1938,13
1939,15
1940,22
1941,15
1942,15
1943,21
1944,26
1945,22
1946,20
1947,39
1948,34
1949,31
1950,28
1951,32
1952,25
1953,27
1954,35
1955,33
1956,46
1957,45
1958,59
1959,44
1960,67
1961,74
1962,56
1963,70
1964,67
1965,69
1966,58
1967,58
1968,75
1969,63
1970,72
1971,48
1972,53
1973,41
1974,56
1975,54
1976,39
1977,71
1978,50
1979,51
1980,38
1981,30
1982,31
1983,27
1984,13
1985,24
1986,29
1987,24
1988,22
1989,18
1990,15
1991,14
1992,23
1993,14
1994,15
1995,10
1996,6
1997,0
1998,7
1999,8
2000,7
2001,0
2002,6
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
