year,Cordell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,6
1905,0
1906,0
1907,0
1908,6
1909,7
1910,0
1911,0
1912,10
1913,12
1914,27
1915,24
1916,32
1917,40
1918,33
1919,42
1920,37
1921,31
1922,50
1923,35
1924,26
1925,26
1926,26
1927,32
1928,21
1929,25
1930,32
1931,33
1932,33
1933,53
1934,37
1935,19
1936,41
1937,36
1938,50
1939,57
1940,75
1941,67
1942,57
1943,54
1944,66
1945,54
1946,51
1947,45
1948,51
1949,55
1950,52
1951,56
1952,62
1953,49
1954,56
1955,85
1956,51
1957,58
1958,41
1959,50
1960,45
1961,62
1962,69
1963,60
1964,77
1965,91
1966,70
1967,68
1968,72
1969,87
1970,84
1971,81
1972,57
1973,83
1974,91
1975,108
1976,80
1977,82
1978,87
1979,85
1980,82
1981,89
1982,68
1983,69
1984,58
1985,63
1986,222
1987,262
1988,254
1989,167
1990,184
1991,163
1992,133
1993,110
1994,215
1995,267
1996,302
1997,318
1998,387
1999,343
2000,284
2001,244
2002,189
2003,173
2004,167
2005,127
2006,137
2007,165
2008,279
2009,195
2010,138
2011,127
2012,109
