year,Camelia
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,7
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,7
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,0
1913,6
1914,12
1915,8
1916,8
1917,15
1918,8
1919,8
1920,5
1921,6
1922,10
1923,11
1924,9
1925,8
1926,7
1927,12
1928,0
1929,6
1930,11
1931,5
1932,8
1933,8
1934,5
1935,8
1936,13
1937,13
1938,9
1939,15
1940,13
1941,20
1942,14
1943,26
1944,22
1945,21
1946,13
1947,26
1948,33
1949,23
1950,30
1951,23
1952,29
1953,19
1954,37
1955,26
1956,21
1957,24
1958,24
1959,41
1960,33
1961,35
1962,33
1963,25
1964,35
1965,34
1966,32
1967,31
1968,28
1969,27
1970,24
1971,27
1972,23
1973,24
1974,23
1975,47
1976,66
1977,57
1978,28
1979,37
1980,44
1981,40
1982,41
1983,28
1984,44
1985,31
1986,33
1987,71
1988,39
1989,29
1990,32
1991,23
1992,25
1993,23
1994,28
1995,26
1996,22
1997,21
1998,23
1999,11
2000,31
2001,26
2002,25
2003,35
2004,28
2005,21
2006,15
2007,31
2008,28
2009,22
2010,22
2011,22
2012,28
