year,Celia
1880,90
1881,107
1882,126
1883,101
1884,122
1885,153
1886,147
1887,154
1888,196
1889,167
1890,204
1891,187
1892,222
1893,219
1894,254
1895,273
1896,258
1897,260
1898,265
1899,231
1900,316
1901,251
1902,285
1903,278
1904,293
1905,270
1906,289
1907,314
1908,351
1909,324
1910,402
1911,410
1912,519
1913,532
1914,692
1915,853
1916,810
1917,839
1918,791
1919,711
1920,726
1921,691
1922,677
1923,670
1924,662
1925,661
1926,606
1927,614
1928,550
1929,513
1930,567
1931,498
1932,392
1933,436
1934,449
1935,424
1936,419
1937,419
1938,413
1939,373
1940,381
1941,388
1942,407
1943,405
1944,428
1945,377
1946,399
1947,458
1948,489
1949,498
1950,508
1951,577
1952,638
1953,578
1954,549
1955,603
1956,558
1957,520
1958,530
1959,535
1960,541
1961,530
1962,553
1963,448
1964,376
1965,357
1966,301
1967,271
1968,265
1969,237
1970,357
1971,278
1972,223
1973,232
1974,235
1975,206
1976,211
1977,246
1978,218
1979,247
1980,281
1981,294
1982,257
1983,399
1984,506
1985,406
1986,358
1987,329
1988,342
1989,310
1990,391
1991,352
1992,342
1993,343
1994,303
1995,318
1996,336
1997,360
1998,384
1999,409
2000,408
2001,424
2002,388
2003,406
2004,405
2005,410
2006,406
2007,370
2008,390
2009,376
2010,375
2011,372
2012,374
