year,Cleopatra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,6
1891,0
1892,5
1893,5
1894,0
1895,0
1896,7
1897,5
1898,6
1899,5
1900,0
1901,0
1902,7
1903,7
1904,5
1905,5
1906,8
1907,11
1908,13
1909,5
1910,17
1911,17
1912,16
1913,13
1914,20
1915,17
1916,19
1917,30
1918,30
1919,42
1920,43
1921,41
1922,31
1923,33
1924,26
1925,24
1926,21
1927,47
1928,42
1929,32
1930,22
1931,33
1932,34
1933,28
1934,20
1935,21
1936,17
1937,17
1938,10
1939,8
1940,9
1941,13
1942,14
1943,14
1944,8
1945,10
1946,13
1947,19
1948,22
1949,12
1950,20
1951,13
1952,16
1953,20
1954,12
1955,11
1956,12
1957,10
1958,8
1959,8
1960,9
1961,0
1962,15
1963,12
1964,12
1965,7
1966,6
1967,7
1968,10
1969,9
1970,6
1971,5
1972,9
1973,35
1974,52
1975,33
1976,22
1977,22
1978,28
1979,26
1980,13
1981,18
1982,13
1983,14
1984,14
1985,16
1986,15
1987,15
1988,21
1989,19
1990,15
1991,16
1992,20
1993,20
1994,21
1995,11
1996,14
1997,19
1998,20
1999,34
2000,32
2001,21
2002,12
2003,14
2004,16
2005,8
2006,19
2007,16
2008,20
2009,10
2010,14
2011,22
2012,14
