year,Christiana
1880,0
1881,0
1882,6
1883,0
1884,0
1885,5
1886,7
1887,8
1888,0
1889,5
1890,0
1891,5
1892,6
1893,0
1894,5
1895,6
1896,5
1897,5
1898,7
1899,0
1900,7
1901,0
1902,7
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,0
1911,0
1912,13
1913,8
1914,8
1915,8
1916,11
1917,6
1918,7
1919,6
1920,0
1921,14
1922,10
1923,9
1924,8
1925,6
1926,0
1927,10
1928,0
1929,6
1930,0
1931,0
1932,12
1933,0
1934,7
1935,0
1936,0
1937,0
1938,7
1939,0
1940,7
1941,8
1942,11
1943,7
1944,0
1945,11
1946,10
1947,13
1948,11
1949,17
1950,19
1951,20
1952,19
1953,25
1954,13
1955,8
1956,9
1957,22
1958,28
1959,13
1960,21
1961,30
1962,24
1963,33
1964,31
1965,42
1966,45
1967,51
1968,66
1969,76
1970,63
1971,67
1972,79
1973,82
1974,88
1975,107
1976,95
1977,110
1978,110
1979,129
1980,114
1981,112
1982,144
1983,128
1984,140
1985,128
1986,153
1987,154
1988,155
1989,186
1990,233
1991,281
1992,284
1993,259
1994,285
1995,296
1996,309
1997,286
1998,295
1999,290
2000,274
2001,262
2002,269
2003,261
2004,257
2005,245
2006,257
2007,244
2008,218
2009,232
2010,221
2011,175
2012,217
