year,Celina
1880,12
1881,11
1882,7
1883,6
1884,9
1885,16
1886,12
1887,6
1888,11
1889,12
1890,18
1891,13
1892,10
1893,17
1894,10
1895,11
1896,10
1897,16
1898,17
1899,17
1900,14
1901,7
1902,10
1903,10
1904,12
1905,15
1906,11
1907,13
1908,15
1909,12
1910,15
1911,9
1912,26
1913,23
1914,19
1915,24
1916,23
1917,30
1918,33
1919,30
1920,30
1921,31
1922,24
1923,30
1924,30
1925,31
1926,22
1927,36
1928,22
1929,21
1930,30
1931,16
1932,21
1933,11
1934,25
1935,14
1936,15
1937,16
1938,16
1939,17
1940,18
1941,11
1942,18
1943,13
1944,24
1945,20
1946,15
1947,23
1948,24
1949,27
1950,20
1951,32
1952,44
1953,36
1954,36
1955,42
1956,34
1957,23
1958,38
1959,49
1960,69
1961,70
1962,77
1963,63
1964,80
1965,71
1966,63
1967,85
1968,102
1969,99
1970,82
1971,109
1972,89
1973,146
1974,131
1975,136
1976,197
1977,312
1978,258
1979,239
1980,234
1981,250
1982,267
1983,231
1984,283
1985,272
1986,245
1987,226
1988,231
1989,247
1990,299
1991,322
1992,368
1993,487
1994,593
1995,555
1996,356
1997,354
1998,347
1999,328
2000,298
2001,232
2002,284
2003,229
2004,226
2005,248
2006,242
2007,200
2008,180
2009,180
2010,178
2011,161
2012,216
