year,Cammie
1880,0
1881,7
1882,7
1883,5
1884,6
1885,6
1886,6
1887,10
1888,5
1889,8
1890,0
1891,8
1892,9
1893,12
1894,9
1895,9
1896,12
1897,7
1898,9
1899,6
1900,11
1901,8
1902,13
1903,0
1904,7
1905,7
1906,9
1907,11
1908,7
1909,9
1910,16
1911,8
1912,13
1913,9
1914,22
1915,19
1916,16
1917,16
1918,9
1919,17
1920,17
1921,15
1922,14
1923,25
1924,20
1925,12
1926,21
1927,10
1928,14
1929,9
1930,7
1931,9
1932,13
1933,15
1934,14
1935,11
1936,15
1937,0
1938,0
1939,13
1940,6
1941,11
1942,13
1943,9
1944,10
1945,10
1946,13
1947,12
1948,10
1949,20
1950,12
1951,10
1952,19
1953,14
1954,22
1955,12
1956,23
1957,36
1958,49
1959,62
1960,67
1961,57
1962,63
1963,88
1964,87
1965,68
1966,83
1967,92
1968,145
1969,96
1970,125
1971,95
1972,72
1973,64
1974,67
1975,63
1976,54
1977,48
1978,60
1979,63
1980,57
1981,70
1982,66
1983,52
1984,45
1985,58
1986,63
1987,41
1988,33
1989,45
1990,40
1991,37
1992,39
1993,37
1994,30
1995,29
1996,23
1997,25
1998,42
1999,39
2000,29
2001,39
2002,41
2003,35
2004,35
2005,35
2006,28
2007,21
2008,28
2009,27
2010,25
2011,29
2012,23
