year,Chalmers
1880,5
1881,0
1882,0
1883,5
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,5
1895,7
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,8
1905,5
1906,0
1907,0
1908,5
1909,0
1910,0
1911,7
1912,20
1913,18
1914,26
1915,23
1916,22
1917,31
1918,31
1919,38
1920,30
1921,30
1922,36
1923,33
1924,27
1925,28
1926,25
1927,25
1928,17
1929,24
1930,19
1931,20
1932,12
1933,13
1934,20
1935,12
1936,7
1937,20
1938,18
1939,8
1940,13
1941,15
1942,16
1943,18
1944,17
1945,12
1946,16
1947,16
1948,13
1949,14
1950,11
1951,13
1952,8
1953,8
1954,8
1955,12
1956,17
1957,9
1958,9
1959,0
1960,11
1961,6
1962,6
1963,7
1964,11
1965,7
1966,0
1967,0
1968,6
1969,0
1970,0
1971,10
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,7
1979,5
1980,5
1981,0
1982,5
1983,0
1984,5
1985,5
1986,0
1987,6
1988,6
1989,0
1990,7
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,6
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
