year,Clementine
1880,19
1881,6
1882,24
1883,15
1884,16
1885,29
1886,27
1887,16
1888,29
1889,22
1890,42
1891,21
1892,32
1893,26
1894,35
1895,22
1896,23
1897,36
1898,33
1899,35
1900,29
1901,30
1902,49
1903,40
1904,26
1905,38
1906,31
1907,37
1908,50
1909,47
1910,71
1911,84
1912,83
1913,83
1914,127
1915,132
1916,151
1917,149
1918,147
1919,144
1920,119
1921,160
1922,141
1923,138
1924,152
1925,129
1926,106
1927,123
1928,106
1929,117
1930,96
1931,114
1932,98
1933,91
1934,81
1935,90
1936,107
1937,102
1938,78
1939,104
1940,105
1941,87
1942,93
1943,118
1944,78
1945,74
1946,79
1947,90
1948,96
1949,89
1950,135
1951,119
1952,104
1953,100
1954,88
1955,81
1956,77
1957,94
1958,57
1959,58
1960,52
1961,34
1962,39
1963,41
1964,43
1965,27
1966,34
1967,11
1968,10
1969,8
1970,8
1971,8
1972,9
1973,6
1974,12
1975,7
1976,5
1977,0
1978,5
1979,12
1980,8
1981,6
1982,11
1983,0
1984,12
1985,5
1986,0
1987,10
1988,9
1989,8
1990,11
1991,5
1992,9
1993,0
1994,0
1995,10
1996,10
1997,8
1998,18
1999,20
2000,16
2001,13
2002,22
2003,19
2004,29
2005,59
2006,78
2007,91
2008,103
2009,143
2010,132
2011,148
2012,207
