year,Carmelita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,0
1889,9
1890,7
1891,12
1892,8
1893,10
1894,8
1895,10
1896,7
1897,11
1898,9
1899,8
1900,18
1901,9
1902,11
1903,14
1904,11
1905,13
1906,13
1907,9
1908,14
1909,15
1910,16
1911,21
1912,30
1913,32
1914,24
1915,37
1916,43
1917,49
1918,45
1919,53
1920,54
1921,52
1922,56
1923,55
1924,70
1925,78
1926,80
1927,71
1928,84
1929,69
1930,107
1931,89
1932,83
1933,78
1934,82
1935,76
1936,63
1937,68
1938,62
1939,64
1940,92
1941,76
1942,77
1943,91
1944,68
1945,68
1946,69
1947,65
1948,66
1949,76
1950,86
1951,79
1952,90
1953,99
1954,99
1955,80
1956,107
1957,119
1958,98
1959,112
1960,109
1961,98
1962,103
1963,103
1964,87
1965,69
1966,84
1967,85
1968,87
1969,84
1970,75
1971,76
1972,114
1973,140
1974,126
1975,110
1976,83
1977,87
1978,75
1979,82
1980,89
1981,73
1982,71
1983,66
1984,59
1985,39
1986,41
1987,46
1988,41
1989,37
1990,40
1991,41
1992,45
1993,34
1994,29
1995,39
1996,39
1997,26
1998,36
1999,24
2000,24
2001,30
2002,18
2003,26
2004,22
2005,23
2006,22
2007,18
2008,14
2009,24
2010,17
2011,15
2012,24
