year,Candis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,5
1891,7
1892,0
1893,7
1894,0
1895,0
1896,0
1897,0
1898,5
1899,6
1900,0
1901,0
1902,9
1903,0
1904,0
1905,5
1906,5
1907,5
1908,6
1909,5
1910,7
1911,6
1912,0
1913,8
1914,7
1915,10
1916,5
1917,13
1918,14
1919,13
1920,6
1921,9
1922,0
1923,5
1924,0
1925,6
1926,0
1927,5
1928,9
1929,5
1930,7
1931,9
1932,7
1933,0
1934,5
1935,0
1936,8
1937,7
1938,0
1939,0
1940,0
1941,6
1942,9
1943,15
1944,15
1945,34
1946,53
1947,79
1948,96
1949,100
1950,94
1951,92
1952,67
1953,77
1954,82
1955,82
1956,132
1957,94
1958,90
1959,66
1960,47
1961,59
1962,47
1963,50
1964,58
1965,38
1966,43
1967,49
1968,42
1969,45
1970,51
1971,43
1972,44
1973,40
1974,37
1975,38
1976,52
1977,61
1978,65
1979,96
1980,155
1981,201
1982,214
1983,205
1984,224
1985,233
1986,191
1987,200
1988,159
1989,151
1990,105
1991,90
1992,74
1993,56
1994,46
1995,46
1996,34
1997,34
1998,37
1999,28
2000,23
2001,18
2002,13
2003,12
2004,11
2005,11
2006,12
2007,6
2008,8
2009,11
2010,11
2011,5
2012,7
