year,Celestine
1880,12
1881,0
1882,7
1883,11
1884,15
1885,6
1886,7
1887,7
1888,23
1889,17
1890,17
1891,23
1892,14
1893,25
1894,20
1895,23
1896,23
1897,33
1898,34
1899,20
1900,30
1901,23
1902,41
1903,31
1904,24
1905,34
1906,42
1907,34
1908,32
1909,35
1910,52
1911,34
1912,61
1913,78
1914,79
1915,129
1916,133
1917,128
1918,121
1919,136
1920,169
1921,165
1922,174
1923,159
1924,171
1925,162
1926,143
1927,127
1928,139
1929,137
1930,115
1931,122
1932,140
1933,146
1934,101
1935,118
1936,116
1937,87
1938,145
1939,106
1940,124
1941,127
1942,142
1943,136
1944,146
1945,133
1946,125
1947,164
1948,161
1949,183
1950,183
1951,183
1952,195
1953,156
1954,190
1955,160
1956,152
1957,166
1958,147
1959,133
1960,137
1961,105
1962,129
1963,128
1964,108
1965,94
1966,97
1967,82
1968,70
1969,88
1970,72
1971,56
1972,54
1973,64
1974,48
1975,31
1976,35
1977,31
1978,36
1979,36
1980,23
1981,20
1982,22
1983,15
1984,28
1985,17
1986,30
1987,20
1988,34
1989,27
1990,31
1991,38
1992,21
1993,24
1994,15
1995,36
1996,21
1997,27
1998,29
1999,23
2000,18
2001,21
2002,17
2003,19
2004,21
2005,23
2006,19
2007,21
2008,9
2009,15
2010,12
2011,8
2012,17
