year,Claudine
1880,6
1881,5
1882,6
1883,0
1884,0
1885,5
1886,6
1887,6
1888,6
1889,0
1890,5
1891,8
1892,8
1893,17
1894,10
1895,10
1896,13
1897,7
1898,27
1899,12
1900,9
1901,14
1902,19
1903,17
1904,19
1905,28
1906,18
1907,22
1908,30
1909,41
1910,51
1911,43
1912,67
1913,58
1914,77
1915,129
1916,142
1917,150
1918,191
1919,177
1920,178
1921,179
1922,190
1923,160
1924,195
1925,202
1926,191
1927,207
1928,203
1929,175
1930,208
1931,161
1932,160
1933,151
1934,168
1935,193
1936,137
1937,169
1938,180
1939,158
1940,163
1941,135
1942,123
1943,143
1944,139
1945,119
1946,135
1947,128
1948,116
1949,144
1950,106
1951,116
1952,111
1953,86
1954,104
1955,88
1956,82
1957,89
1958,66
1959,69
1960,53
1961,57
1962,57
1963,75
1964,94
1965,101
1966,138
1967,296
1968,321
1969,310
1970,443
1971,335
1972,255
1973,157
1974,150
1975,141
1976,104
1977,114
1978,60
1979,59
1980,54
1981,40
1982,27
1983,22
1984,35
1985,32
1986,21
1987,32
1988,20
1989,26
1990,16
1991,24
1992,21
1993,17
1994,20
1995,27
1996,27
1997,20
1998,25
1999,24
2000,19
2001,28
2002,16
2003,9
2004,15
2005,18
2006,7
2007,10
2008,13
2009,6
2010,8
2011,9
2012,5
