year,Carmelo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,5
1907,0
1908,5
1909,8
1910,9
1911,25
1912,18
1913,32
1914,54
1915,58
1916,72
1917,78
1918,71
1919,88
1920,84
1921,71
1922,96
1923,100
1924,85
1925,93
1926,60
1927,89
1928,55
1929,44
1930,65
1931,54
1932,44
1933,48
1934,35
1935,44
1936,29
1937,25
1938,26
1939,26
1940,19
1941,23
1942,22
1943,25
1944,17
1945,29
1946,20
1947,33
1948,29
1949,40
1950,39
1951,48
1952,53
1953,49
1954,74
1955,74
1956,71
1957,81
1958,88
1959,74
1960,65
1961,79
1962,77
1963,89
1964,79
1965,87
1966,92
1967,89
1968,87
1969,109
1970,101
1971,80
1972,124
1973,79
1974,81
1975,81
1976,80
1977,75
1978,85
1979,71
1980,69
1981,65
1982,76
1983,71
1984,83
1985,70
1986,63
1987,64
1988,61
1989,66
1990,63
1991,53
1992,54
1993,60
1994,59
1995,63
1996,53
1997,52
1998,52
1999,45
2000,51
2001,48
2002,61
2003,101
2004,186
2005,198
2006,226
2007,240
2008,215
2009,261
2010,286
2011,430
2012,441
