year,Charlsie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,7
1898,5
1899,0
1900,13
1901,0
1902,0
1903,5
1904,6
1905,5
1906,6
1907,0
1908,7
1909,13
1910,9
1911,7
1912,10
1913,18
1914,15
1915,29
1916,19
1917,30
1918,27
1919,26
1920,33
1921,36
1922,30
1923,44
1924,31
1925,31
1926,26
1927,43
1928,31
1929,42
1930,59
1931,40
1932,39
1933,42
1934,42
1935,33
1936,35
1937,36
1938,35
1939,35
1940,31
1941,31
1942,32
1943,30
1944,22
1945,24
1946,30
1947,28
1948,21
1949,26
1950,18
1951,16
1952,21
1953,14
1954,13
1955,16
1956,14
1957,12
1958,14
1959,10
1960,6
1961,5
1962,14
1963,8
1964,8
1965,6
1966,6
1967,5
1968,5
1969,7
1970,9
1971,7
1972,9
1973,0
1974,9
1975,0
1976,0
1977,10
1978,9
1979,17
1980,18
1981,10
1982,11
1983,21
1984,31
1985,19
1986,15
1987,18
1988,22
1989,26
1990,15
1991,24
1992,20
1993,13
1994,11
1995,15
1996,15
1997,10
1998,9
1999,13
2000,8
2001,0
2002,10
2003,15
2004,7
2005,9
2006,10
2007,13
2008,11
2009,6
2010,8
2011,5
2012,10
