year,Cassie
1880,33
1881,28
1882,44
1883,34
1884,45
1885,60
1886,42
1887,57
1888,81
1889,66
1890,68
1891,75
1892,79
1893,67
1894,78
1895,75
1896,94
1897,81
1898,104
1899,77
1900,85
1901,63
1902,86
1903,58
1904,75
1905,101
1906,89
1907,87
1908,85
1909,86
1910,108
1911,94
1912,112
1913,124
1914,157
1915,155
1916,178
1917,193
1918,188
1919,181
1920,190
1921,176
1922,169
1923,162
1924,167
1925,126
1926,135
1927,111
1928,113
1929,106
1930,115
1931,85
1932,90
1933,81
1934,83
1935,82
1936,99
1937,75
1938,74
1939,50
1940,66
1941,77
1942,87
1943,79
1944,78
1945,59
1946,79
1947,115
1948,115
1949,130
1950,135
1951,132
1952,118
1953,111
1954,125
1955,98
1956,121
1957,116
1958,137
1959,139
1960,170
1961,161
1962,135
1963,132
1964,142
1965,159
1966,151
1967,129
1968,167
1969,213
1970,329
1971,316
1972,369
1973,327
1974,341
1975,378
1976,368
1977,495
1978,679
1979,778
1980,776
1981,1224
1982,2207
1983,1604
1984,1786
1985,1675
1986,1823
1987,1762
1988,1612
1989,1382
1990,1263
1991,1121
1992,1173
1993,952
1994,895
1995,727
1996,652
1997,738
1998,979
1999,965
2000,886
2001,619
2002,508
2003,508
2004,412
2005,382
2006,386
2007,365
2008,304
2009,279
2010,211
2011,207
2012,208
