year,Candida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,7
1902,0
1903,5
1904,0
1905,5
1906,5
1907,8
1908,9
1909,9
1910,7
1911,8
1912,9
1913,0
1914,10
1915,11
1916,11
1917,11
1918,18
1919,20
1920,12
1921,24
1922,13
1923,19
1924,26
1925,23
1926,23
1927,20
1928,20
1929,6
1930,24
1931,14
1932,14
1933,8
1934,11
1935,14
1936,11
1937,8
1938,14
1939,11
1940,8
1941,14
1942,11
1943,14
1944,11
1945,22
1946,16
1947,36
1948,27
1949,31
1950,30
1951,26
1952,27
1953,35
1954,43
1955,31
1956,33
1957,34
1958,28
1959,32
1960,26
1961,26
1962,29
1963,23
1964,35
1965,23
1966,17
1967,37
1968,27
1969,30
1970,96
1971,221
1972,169
1973,163
1974,139
1975,161
1976,149
1977,102
1978,101
1979,90
1980,97
1981,83
1982,64
1983,48
1984,54
1985,43
1986,33
1987,37
1988,42
1989,48
1990,40
1991,29
1992,43
1993,32
1994,29
1995,16
1996,16
1997,21
1998,17
1999,11
2000,15
2001,13
2002,9
2003,11
2004,8
2005,14
2006,10
2007,0
2008,5
2009,10
2010,6
2011,0
2012,6
