year,Claiborne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,5
1908,5
1909,8
1910,0
1911,0
1912,11
1913,11
1914,10
1915,17
1916,20
1917,13
1918,27
1919,23
1920,23
1921,13
1922,14
1923,9
1924,24
1925,22
1926,21
1927,23
1928,22
1929,23
1930,12
1931,11
1932,9
1933,11
1934,20
1935,17
1936,16
1937,15
1938,16
1939,12
1940,13
1941,12
1942,26
1943,12
1944,11
1945,14
1946,16
1947,20
1948,15
1949,11
1950,8
1951,18
1952,17
1953,7
1954,19
1955,15
1956,12
1957,12
1958,13
1959,21
1960,11
1961,11
1962,9
1963,16
1964,7
1965,8
1966,12
1967,7
1968,9
1969,7
1970,9
1971,9
1972,8
1973,11
1974,9
1975,6
1976,0
1977,7
1978,8
1979,9
1980,8
1981,9
1982,7
1983,6
1984,7
1985,7
1986,12
1987,9
1988,7
1989,12
1990,8
1991,5
1992,10
1993,7
1994,19
1995,7
1996,11
1997,8
1998,10
1999,10
2000,8
2001,6
2002,9
2003,8
2004,0
2005,6
2006,6
2007,5
2008,0
2009,5
2010,5
2011,0
2012,8
