year,Carlyle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,10
1895,10
1896,0
1897,0
1898,6
1899,5
1900,6
1901,0
1902,0
1903,0
1904,7
1905,0
1906,0
1907,14
1908,9
1909,11
1910,11
1911,10
1912,45
1913,34
1914,58
1915,72
1916,89
1917,101
1918,115
1919,101
1920,101
1921,92
1922,100
1923,90
1924,77
1925,76
1926,77
1927,66
1928,67
1929,60
1930,59
1931,66
1932,58
1933,64
1934,54
1935,61
1936,53
1937,46
1938,42
1939,48
1940,39
1941,40
1942,39
1943,47
1944,44
1945,36
1946,33
1947,48
1948,37
1949,45
1950,56
1951,30
1952,26
1953,38
1954,51
1955,38
1956,32
1957,25
1958,33
1959,24
1960,28
1961,20
1962,18
1963,8
1964,21
1965,16
1966,13
1967,9
1968,17
1969,18
1970,21
1971,20
1972,17
1973,14
1974,14
1975,18
1976,17
1977,15
1978,11
1979,21
1980,16
1981,13
1982,22
1983,13
1984,22
1985,20
1986,9
1987,21
1988,20
1989,16
1990,28
1991,27
1992,26
1993,28
1994,16
1995,22
1996,19
1997,20
1998,19
1999,20
2000,10
2001,21
2002,12
2003,10
2004,15
2005,7
2006,10
2007,19
2008,20
2009,10
2010,17
2011,13
2012,10
