year,Coley
1880,0
1881,5
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,5
1892,5
1893,11
1894,5
1895,7
1896,0
1897,0
1898,5
1899,0
1900,6
1901,5
1902,0
1903,0
1904,5
1905,5
1906,11
1907,0
1908,0
1909,10
1910,7
1911,9
1912,19
1913,15
1914,23
1915,21
1916,18
1917,19
1918,22
1919,13
1920,9
1921,21
1922,20
1923,20
1924,14
1925,14
1926,17
1927,9
1928,16
1929,14
1930,16
1931,13
1932,17
1933,11
1934,18
1935,14
1936,13
1937,13
1938,25
1939,18
1940,16
1941,17
1942,10
1943,21
1944,20
1945,22
1946,11
1947,20
1948,17
1949,22
1950,20
1951,14
1952,20
1953,14
1954,16
1955,14
1956,25
1957,16
1958,9
1959,10
1960,16
1961,22
1962,9
1963,14
1964,7
1965,15
1966,15
1967,23
1968,22
1969,25
1970,24
1971,26
1972,15
1973,26
1974,23
1975,19
1976,27
1977,21
1978,26
1979,37
1980,20
1981,14
1982,22
1983,23
1984,23
1985,22
1986,27
1987,29
1988,22
1989,20
1990,20
1991,19
1992,34
1993,37
1994,15
1995,25
1996,27
1997,26
1998,8
1999,33
2000,35
2001,28
2002,18
2003,21
2004,18
2005,18
2006,11
2007,33
2008,41
2009,34
2010,33
2011,26
2012,23
