year,Cass
1880,0
1881,7
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,7
1905,0
1906,5
1907,0
1908,0
1909,0
1910,6
1911,0
1912,7
1913,5
1914,5
1915,11
1916,15
1917,12
1918,11
1919,7
1920,6
1921,12
1922,10
1923,12
1924,9
1925,8
1926,13
1927,6
1928,5
1929,0
1930,5
1931,9
1932,5
1933,5
1934,0
1935,7
1936,0
1937,0
1938,5
1939,7
1940,6
1941,0
1942,9
1943,8
1944,7
1945,6
1946,17
1947,5
1948,14
1949,24
1950,12
1951,16
1952,17
1953,22
1954,29
1955,12
1956,16
1957,20
1958,26
1959,24
1960,42
1961,28
1962,22
1963,18
1964,21
1965,15
1966,22
1967,22
1968,19
1969,31
1970,34
1971,32
1972,28
1973,22
1974,10
1975,18
1976,23
1977,26
1978,15
1979,25
1980,14
1981,19
1982,11
1983,39
1984,23
1985,23
1986,31
1987,34
1988,26
1989,43
1990,35
1991,39
1992,19
1993,14
1994,14
1995,19
1996,15
1997,17
1998,15
1999,13
2000,17
2001,13
2002,13
2003,15
2004,16
2005,16
2006,14
2007,19
2008,20
2009,24
2010,30
2011,24
2012,12
