year,Carmel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,5
1892,7
1893,0
1894,8
1895,0
1896,9
1897,9
1898,8
1899,5
1900,19
1901,17
1902,10
1903,16
1904,21
1905,24
1906,35
1907,26
1908,33
1909,26
1910,48
1911,55
1912,69
1913,77
1914,124
1915,131
1916,132
1917,131
1918,145
1919,128
1920,141
1921,160
1922,128
1923,172
1924,189
1925,176
1926,155
1927,134
1928,127
1929,135
1930,121
1931,105
1932,139
1933,88
1934,92
1935,80
1936,91
1937,85
1938,68
1939,88
1940,58
1941,86
1942,92
1943,71
1944,66
1945,75
1946,82
1947,102
1948,89
1949,78
1950,79
1951,91
1952,86
1953,80
1954,58
1955,145
1956,144
1957,151
1958,132
1959,132
1960,141
1961,116
1962,161
1963,134
1964,119
1965,88
1966,94
1967,71
1968,100
1969,74
1970,89
1971,63
1972,63
1973,47
1974,62
1975,66
1976,43
1977,46
1978,46
1979,45
1980,55
1981,42
1982,35
1983,32
1984,36
1985,45
1986,34
1987,52
1988,30
1989,26
1990,35
1991,33
1992,17
1993,19
1994,17
1995,29
1996,15
1997,23
1998,18
1999,29
2000,18
2001,24
2002,20
2003,18
2004,28
2005,25
2006,27
2007,34
2008,28
2009,30
2010,13
2011,24
2012,25
