year,Carman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,12
1913,15
1914,18
1915,33
1916,30
1917,24
1918,32
1919,19
1920,23
1921,22
1922,25
1923,45
1924,31
1925,36
1926,33
1927,44
1928,31
1929,28
1930,38
1931,25
1932,27
1933,25
1934,33
1935,32
1936,21
1937,25
1938,30
1939,26
1940,37
1941,20
1942,24
1943,24
1944,26
1945,28
1946,25
1947,28
1948,23
1949,36
1950,31
1951,47
1952,26
1953,45
1954,33
1955,42
1956,52
1957,43
1958,45
1959,70
1960,65
1961,58
1962,63
1963,54
1964,78
1965,56
1966,70
1967,59
1968,74
1969,71
1970,88
1971,71
1972,49
1973,79
1974,62
1975,50
1976,65
1977,54
1978,42
1979,51
1980,32
1981,33
1982,45
1983,26
1984,33
1985,30
1986,19
1987,28
1988,30
1989,31
1990,24
1991,24
1992,28
1993,21
1994,19
1995,19
1996,20
1997,22
1998,21
1999,30
2000,17
2001,17
2002,19
2003,13
2004,24
2005,8
2006,9
2007,14
2008,11
2009,10
2010,13
2011,0
2012,6
