year,Carry
1880,0
1881,6
1882,0
1883,0
1884,9
1885,5
1886,0
1887,0
1888,7
1889,10
1890,6
1891,5
1892,8
1893,6
1894,17
1895,11
1896,10
1897,5
1898,8
1899,9
1900,12
1901,6
1902,10
1903,13
1904,10
1905,12
1906,15
1907,16
1908,12
1909,8
1910,15
1911,15
1912,7
1913,18
1914,18
1915,18
1916,18
1917,26
1918,23
1919,24
1920,24
1921,24
1922,20
1923,16
1924,19
1925,16
1926,22
1927,18
1928,12
1929,21
1930,10
1931,15
1932,11
1933,8
1934,10
1935,10
1936,8
1937,6
1938,7
1939,12
1940,16
1941,6
1942,6
1943,7
1944,5
1945,7
1946,13
1947,17
1948,14
1949,5
1950,10
1951,11
1952,8
1953,10
1954,13
1955,8
1956,10
1957,21
1958,23
1959,20
1960,18
1961,13
1962,18
1963,15
1964,29
1965,17
1966,19
1967,25
1968,18
1969,20
1970,31
1971,34
1972,34
1973,27
1974,19
1975,43
1976,26
1977,27
1978,19
1979,19
1980,26
1981,22
1982,27
1983,11
1984,13
1985,15
1986,21
1987,15
1988,12
1989,15
1990,16
1991,15
1992,8
1993,0
1994,6
1995,0
1996,7
1997,0
1998,8
1999,0
2000,5
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
