year,Celestia
1880,6
1881,0
1882,5
1883,8
1884,9
1885,0
1886,13
1887,6
1888,0
1889,9
1890,0
1891,8
1892,0
1893,0
1894,5
1895,7
1896,9
1897,6
1898,10
1899,6
1900,10
1901,6
1902,6
1903,8
1904,13
1905,7
1906,5
1907,11
1908,6
1909,7
1910,7
1911,10
1912,6
1913,15
1914,18
1915,28
1916,32
1917,26
1918,25
1919,31
1920,19
1921,20
1922,14
1923,22
1924,12
1925,15
1926,9
1927,11
1928,11
1929,10
1930,14
1931,6
1932,5
1933,6
1934,7
1935,0
1936,5
1937,9
1938,0
1939,8
1940,0
1941,7
1942,10
1943,12
1944,0
1945,10
1946,8
1947,10
1948,6
1949,6
1950,9
1951,0
1952,6
1953,13
1954,12
1955,6
1956,11
1957,9
1958,14
1959,6
1960,0
1961,12
1962,6
1963,5
1964,8
1965,5
1966,5
1967,7
1968,8
1969,7
1970,6
1971,8
1972,0
1973,11
1974,6
1975,0
1976,0
1977,7
1978,9
1979,7
1980,9
1981,10
1982,0
1983,7
1984,5
1985,5
1986,0
1987,7
1988,6
1989,9
1990,0
1991,0
1992,6
1993,8
1994,0
1995,8
1996,11
1997,0
1998,7
1999,5
2000,11
2001,7
2002,11
2003,9
2004,18
2005,8
2006,9
2007,11
2008,0
2009,6
2010,6
2011,7
2012,13
