year,Cinderella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,8
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,7
1912,5
1913,11
1914,6
1915,11
1916,9
1917,16
1918,7
1919,16
1920,11
1921,23
1922,25
1923,16
1924,18
1925,11
1926,10
1927,21
1928,9
1929,14
1930,6
1931,12
1932,9
1933,10
1934,12
1935,5
1936,5
1937,5
1938,7
1939,0
1940,9
1941,16
1942,11
1943,0
1944,11
1945,10
1946,15
1947,9
1948,11
1949,15
1950,19
1951,23
1952,20
1953,13
1954,17
1955,15
1956,14
1957,9
1958,19
1959,13
1960,11
1961,16
1962,15
1963,8
1964,12
1965,15
1966,8
1967,7
1968,7
1969,0
1970,11
1971,0
1972,0
1973,0
1974,0
1975,0
1976,10
1977,5
1978,5
1979,0
1980,5
1981,7
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,5
1991,6
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,10
2000,9
2001,8
2002,0
2003,6
2004,7
2005,9
2006,0
2007,5
2008,8
2009,0
2010,8
2011,0
2012,0
