year,Cordie
1880,14
1881,11
1882,9
1883,16
1884,25
1885,20
1886,24
1887,21
1888,29
1889,24
1890,31
1891,34
1892,44
1893,38
1894,33
1895,34
1896,38
1897,34
1898,36
1899,39
1900,47
1901,22
1902,29
1903,32
1904,37
1905,31
1906,32
1907,36
1908,30
1909,32
1910,34
1911,32
1912,31
1913,28
1914,58
1915,62
1916,67
1917,55
1918,53
1919,66
1920,51
1921,53
1922,59
1923,30
1924,43
1925,47
1926,36
1927,23
1928,30
1929,16
1930,25
1931,20
1932,15
1933,22
1934,26
1935,18
1936,13
1937,22
1938,16
1939,13
1940,0
1941,19
1942,14
1943,21
1944,15
1945,13
1946,12
1947,8
1948,12
1949,5
1950,17
1951,18
1952,9
1953,18
1954,9
1955,10
1956,7
1957,6
1958,0
1959,20
1960,8
1961,0
1962,10
1963,6
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
