year,Carmela
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,17
1889,15
1890,9
1891,18
1892,14
1893,19
1894,31
1895,37
1896,33
1897,32
1898,38
1899,49
1900,57
1901,44
1902,61
1903,69
1904,78
1905,88
1906,94
1907,113
1908,105
1909,106
1910,140
1911,172
1912,213
1913,238
1914,341
1915,430
1916,451
1917,479
1918,516
1919,480
1920,512
1921,563
1922,574
1923,587
1924,578
1925,565
1926,523
1927,532
1928,499
1929,496
1930,457
1931,363
1932,385
1933,303
1934,276
1935,252
1936,233
1937,209
1938,209
1939,198
1940,196
1941,176
1942,196
1943,203
1944,141
1945,156
1946,154
1947,176
1948,172
1949,161
1950,182
1951,151
1952,176
1953,148
1954,141
1955,148
1956,183
1957,181
1958,188
1959,217
1960,213
1961,219
1962,251
1963,207
1964,221
1965,192
1966,195
1967,205
1968,176
1969,196
1970,175
1971,163
1972,146
1973,140
1974,140
1975,161
1976,134
1977,113
1978,116
1979,99
1980,131
1981,103
1982,106
1983,84
1984,72
1985,94
1986,72
1987,72
1988,78
1989,83
1990,81
1991,67
1992,78
1993,58
1994,65
1995,69
1996,63
1997,59
1998,55
1999,79
2000,56
2001,68
2002,78
2003,98
2004,110
2005,124
2006,124
2007,119
2008,113
2009,115
2010,93
2011,100
2012,87
