year,Celeste
1880,0
1881,14
1882,9
1883,9
1884,15
1885,16
1886,18
1887,20
1888,27
1889,11
1890,20
1891,22
1892,27
1893,27
1894,26
1895,32
1896,30
1897,36
1898,42
1899,33
1900,50
1901,38
1902,33
1903,36
1904,36
1905,50
1906,50
1907,49
1908,41
1909,47
1910,72
1911,61
1912,90
1913,88
1914,98
1915,133
1916,162
1917,156
1918,161
1919,142
1920,150
1921,160
1922,108
1923,146
1924,135
1925,144
1926,113
1927,109
1928,131
1929,116
1930,98
1931,96
1932,123
1933,105
1934,124
1935,98
1936,96
1937,136
1938,120
1939,109
1940,140
1941,159
1942,156
1943,166
1944,147
1945,171
1946,218
1947,306
1948,297
1949,407
1950,532
1951,598
1952,626
1953,636
1954,623
1955,709
1956,726
1957,699
1958,781
1959,750
1960,763
1961,854
1962,803
1963,789
1964,690
1965,660
1966,649
1967,624
1968,557
1969,591
1970,594
1971,661
1972,552
1973,599
1974,581
1975,523
1976,546
1977,471
1978,489
1979,525
1980,582
1981,599
1982,598
1983,524
1984,508
1985,509
1986,481
1987,473
1988,458
1989,592
1990,653
1991,692
1992,671
1993,732
1994,1080
1995,1147
1996,1156
1997,1251
1998,1228
1999,1205
2000,1167
2001,1093
2002,1010
2003,1034
2004,1634
2005,1202
2006,1013
2007,911
2008,811
2009,674
2010,673
2011,668
2012,653
