year,Carrie (F),Carrie (M)
1880,0.004710,0.000040
1881,0.004971,0.000031
1882,0.004681,0.000027
1883,0.005107,0.000000
1884,0.005114,0.000021
1885,0.005327,0.000021
1886,0.005468,0.000027
1887,0.005433,0.000000
1888,0.005500,0.000020
1889,0.005354,0.000021
1890,0.005010,0.000027
1891,0.004681,0.000028
1892,0.004749,0.000015
1893,0.004462,0.000040
1894,0.004287,0.000018
1895,0.004168,0.000000
1896,0.003883,0.000022
1897,0.003934,0.000017
1898,0.003594,0.000013
1899,0.003968,0.000024
1900,0.003799,0.000013
1901,0.003606,0.000014
1902,0.003558,0.000000
1903,0.003284,0.000024
1904,0.003172,0.000015
1905,0.003038,0.000017
1906,0.002773,0.000014
1907,0.002757,0.000024
1908,0.002536,0.000020
1909,0.002496,0.000012
1910,0.002338,0.000015
1911,0.001988,0.000012
1912,0.001599,0.000007
1913,0.001334,0.000009
1914,0.001270,0.000007
1915,0.001074,0.000008
1916,0.001116,0.000008
1917,0.001033,0.000005
1918,0.000981,0.000006
1919,0.001033,0.000009
1920,0.000932,0.000005
1921,0.000891,0.000006
1922,0.000926,0.000005
1923,0.000837,0.000005
1924,0.000862,0.000006
1925,0.000868,0.000011
1926,0.000810,0.000009
1927,0.000771,0.000007
1928,0.000730,0.000006
1929,0.000689,0.000008
1930,0.000660,0.000007
1931,0.000621,0.000010
1932,0.000661,0.000006
1933,0.000632,0.000008
1934,0.000606,0.000005
1935,0.000611,0.000006
1936,0.000570,0.000003
1937,0.000553,0.000009
1938,0.000507,0.000007
1939,0.000488,0.000005
1940,0.000474,0.000005
1941,0.000423,0.000005
1942,0.000435,0.000003
1943,0.000402,0.000002
1944,0.000380,0.000003
1945,0.000371,0.000003
1946,0.000336,0.000003
1947,0.000325,0.000002
1948,0.000340,0.000000
1949,0.000318,0.000002
1950,0.000278,0.000002
1951,0.000290,0.000001
1952,0.000292,0.000001
1953,0.000332,0.000002
1954,0.000329,0.000002
1955,0.000302,0.000002
1956,0.000371,0.000002
1957,0.000513,0.000001
1958,0.000624,0.000004
1959,0.000714,0.000002
1960,0.000758,0.000002
1961,0.000768,0.000002
1962,0.000751,0.000002
1963,0.000712,0.000002
1964,0.000765,0.000003
1965,0.000685,0.000002
1966,0.000712,0.000000
1967,0.000941,0.000003
1968,0.001178,0.000002
1969,0.001118,0.000002
1970,0.001379,0.000006
1971,0.001741,0.000007
1972,0.001725,0.000004
1973,0.001934,0.000007
1974,0.002116,0.000006
1975,0.002602,0.000007
1976,0.002634,0.000008
1977,0.002727,0.000008
1978,0.002306,0.000009
1979,0.001911,0.000006
1980,0.001673,0.000008
1981,0.001473,0.000005
1982,0.001480,0.000005
1983,0.001241,0.000006
1984,0.001058,0.000005
1985,0.000825,0.000002
1986,0.000721,0.000004
1987,0.000663,0.000004
1988,0.000597,0.000001
1989,0.000509,0.000003
1990,0.000432,0.000000
1991,0.000376,0.000000
1992,0.000334,0.000000
1993,0.000296,0.000000
1994,0.000273,0.000000
1995,0.000245,0.000000
1996,0.000240,0.000000
1997,0.000205,0.000000
1998,0.000171,0.000000
1999,0.000158,0.000000
2000,0.000141,0.000000
2001,0.000115,0.000000
2002,0.000086,0.000000
2003,0.000091,0.000000
2004,0.000081,0.000000
2005,0.000079,0.000000
2006,0.000078,0.000000
2007,0.000067,0.000000
2008,0.000067,0.000000
2009,0.000062,0.000000
2010,0.000049,0.000000
2011,0.000041,0.000000
2012,0.000042,0.000000
2013,0.000047,0.000000
