year,Calla
1880,6
1881,8
1882,8
1883,9
1884,10
1885,8
1886,12
1887,9
1888,9
1889,0
1890,10
1891,5
1892,6
1893,8
1894,11
1895,11
1896,5
1897,11
1898,9
1899,7
1900,7
1901,7
1902,0
1903,0
1904,0
1905,10
1906,12
1907,6
1908,9
1909,0
1910,5
1911,9
1912,10
1913,10
1914,10
1915,9
1916,10
1917,8
1918,16
1919,10
1920,14
1921,9
1922,12
1923,10
1924,12
1925,10
1926,6
1927,10
1928,7
1929,10
1930,10
1931,6
1932,11
1933,6
1934,0
1935,8
1936,5
1937,0
1938,8
1939,5
1940,5
1941,0
1942,0
1943,5
1944,5
1945,7
1946,8
1947,7
1948,5
1949,10
1950,12
1951,5
1952,17
1953,5
1954,19
1955,19
1956,10
1957,8
1958,7
1959,9
1960,8
1961,7
1962,7
1963,8
1964,0
1965,7
1966,8
1967,6
1968,0
1969,0
1970,5
1971,5
1972,0
1973,8
1974,16
1975,0
1976,8
1977,9
1978,6
1979,9
1980,7
1981,9
1982,17
1983,14
1984,21
1985,16
1986,56
1987,39
1988,41
1989,46
1990,41
1991,57
1992,57
1993,49
1994,44
1995,44
1996,37
1997,43
1998,35
1999,33
2000,57
2001,69
2002,50
2003,60
2004,71
2005,81
2006,87
2007,92
2008,96
2009,106
2010,133
2011,103
2012,120
