year,Catherine (F),Catherine (M)
1880,0.003415,0.000000
1881,0.003295,0.000000
1882,0.003277,0.000000
1883,0.003932,0.000000
1884,0.003590,0.000029
1885,0.003512,0.000000
1886,0.003588,0.000000
1887,0.003909,0.000020
1888,0.004047,0.000020
1889,0.004146,0.000000
1890,0.004088,0.000000
1891,0.004252,0.000021
1892,0.003989,0.000000
1893,0.004105,0.000015
1894,0.004222,0.000000
1895,0.004313,0.000000
1896,0.004459,0.000000
1897,0.004355,0.000000
1898,0.004470,0.000013
1899,0.004799,0.000015
1900,0.004621,0.000011
1901,0.004624,0.000014
1902,0.004903,0.000000
1903,0.005026,0.000000
1904,0.004915,0.000022
1905,0.005185,0.000000
1906,0.005205,0.000016
1907,0.005279,0.000015
1908,0.005628,0.000020
1909,0.005667,0.000014
1910,0.005351,0.000017
1911,0.005532,0.000017
1912,0.004723,0.000011
1913,0.004662,0.000011
1914,0.004669,0.000014
1915,0.004464,0.000008
1916,0.004378,0.000012
1917,0.004330,0.000008
1918,0.004072,0.000006
1919,0.003949,0.000008
1920,0.003923,0.000008
1921,0.003808,0.000007
1922,0.003728,0.000010
1923,0.003665,0.000010
1924,0.003511,0.000012
1925,0.003373,0.000008
1926,0.003252,0.000013
1927,0.003130,0.000015
1928,0.003056,0.000018
1929,0.002862,0.000010
1930,0.002833,0.000014
1931,0.002682,0.000018
1932,0.002579,0.000014
1933,0.002456,0.000010
1934,0.002377,0.000010
1935,0.002249,0.000009
1936,0.002183,0.000013
1937,0.002092,0.000011
1938,0.002047,0.000009
1939,0.002077,0.000008
1940,0.001989,0.000007
1941,0.002006,0.000007
1942,0.001928,0.000010
1943,0.001922,0.000009
1944,0.001955,0.000006
1945,0.001897,0.000007
1946,0.001992,0.000004
1947,0.002189,0.000004
1948,0.002389,0.000007
1949,0.002622,0.000004
1950,0.002756,0.000005
1951,0.002870,0.000007
1952,0.002911,0.000008
1953,0.002814,0.000004
1954,0.002784,0.000004
1955,0.002897,0.000006
1956,0.002929,0.000005
1957,0.002654,0.000006
1958,0.002606,0.000005
1959,0.002411,0.000005
1960,0.002295,0.000006
1961,0.002234,0.000005
1962,0.002155,0.000005
1963,0.002095,0.000007
1964,0.002118,0.000006
1965,0.001998,0.000007
1966,0.002002,0.000007
1967,0.001869,0.000006
1968,0.001814,0.000005
1969,0.001752,0.000005
1970,0.001665,0.000006
1971,0.001553,0.000005
1972,0.001491,0.000003
1973,0.001415,0.000005
1974,0.001375,0.000006
1975,0.001302,0.000004
1976,0.001246,0.000005
1977,0.001210,0.000007
1978,0.001246,0.000006
1979,0.001165,0.000004
1980,0.001185,0.000005
1981,0.001172,0.000004
1982,0.001168,0.000002
1983,0.001228,0.000005
1984,0.001215,0.000005
1985,0.001202,0.000003
1986,0.001192,0.000007
1987,0.001139,0.000007
1988,0.001220,0.000004
1989,0.001186,0.000011
1990,0.001238,0.000006
1991,0.001236,0.000002
1992,0.001180,0.000003
1993,0.001187,0.000000
1994,0.001104,0.000000
1995,0.001054,0.000003
1996,0.001025,0.000003
1997,0.000991,0.000002
1998,0.000910,0.000000
1999,0.000921,0.000002
2000,0.001005,0.000000
2001,0.000997,0.000000
2002,0.000880,0.000003
2003,0.000850,0.000000
2004,0.000833,0.000003
2005,0.000777,0.000002
2006,0.000706,0.000000
2007,0.000618,0.000001
2008,0.000591,0.000000
2009,0.000495,0.000000
2010,0.000436,0.000000
2011,0.000530,0.000000
2012,0.000522,0.000000
