year,Clovis
1880,7
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,8
1891,0
1892,6
1893,9
1894,0
1895,5
1896,7
1897,7
1898,8
1899,0
1900,6
1901,5
1902,0
1903,12
1904,12
1905,9
1906,8
1907,5
1908,12
1909,7
1910,22
1911,13
1912,46
1913,52
1914,71
1915,88
1916,80
1917,94
1918,90
1919,82
1920,96
1921,77
1922,94
1923,101
1924,97
1925,88
1926,82
1927,74
1928,67
1929,77
1930,81
1931,67
1932,55
1933,78
1934,78
1935,78
1936,45
1937,69
1938,47
1939,40
1940,55
1941,53
1942,52
1943,33
1944,41
1945,40
1946,48
1947,42
1948,46
1949,32
1950,36
1951,44
1952,33
1953,24
1954,38
1955,31
1956,34
1957,38
1958,26
1959,29
1960,14
1961,22
1962,24
1963,28
1964,21
1965,11
1966,14
1967,11
1968,10
1969,16
1970,14
1971,13
1972,15
1973,12
1974,16
1975,10
1976,11
1977,9
1978,15
1979,12
1980,13
1981,7
1982,10
1983,12
1984,13
1985,9
1986,12
1987,10
1988,6
1989,6
1990,6
1991,8
1992,8
1993,5
1994,10
1995,0
1996,6
1997,8
1998,0
1999,0
2000,6
2001,0
2002,10
2003,0
2004,9
2005,8
2006,8
2007,6
2008,6
2009,5
2010,6
2011,12
2012,10
