year,China
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,5
1905,7
1906,5
1907,0
1908,8
1909,5
1910,8
1911,0
1912,0
1913,6
1914,9
1915,9
1916,10
1917,12
1918,7
1919,10
1920,7
1921,7
1922,13
1923,8
1924,5
1925,17
1926,7
1927,10
1928,7
1929,10
1930,7
1931,0
1932,0
1933,8
1934,11
1935,6
1936,8
1937,13
1938,5
1939,0
1940,8
1941,6
1942,9
1943,6
1944,5
1945,6
1946,5
1947,9
1948,5
1949,6
1950,0
1951,5
1952,12
1953,6
1954,15
1955,9
1956,6
1957,12
1958,10
1959,9
1960,14
1961,9
1962,16
1963,7
1964,10
1965,17
1966,11
1967,8
1968,14
1969,19
1970,20
1971,27
1972,17
1973,25
1974,29
1975,29
1976,36
1977,46
1978,45
1979,47
1980,65
1981,61
1982,52
1983,53
1984,50
1985,44
1986,66
1987,87
1988,109
1989,148
1990,163
1991,192
1992,245
1993,222
1994,200
1995,186
1996,190
1997,229
1998,194
1999,156
2000,151
2001,92
2002,64
2003,54
2004,52
2005,46
2006,51
2007,42
2008,44
2009,39
2010,51
2011,57
2012,46
