year,Cindy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,5
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,5
1901,6
1902,6
1903,0
1904,0
1905,0
1906,6
1907,0
1908,6
1909,6
1910,0
1911,5
1912,12
1913,10
1914,8
1915,12
1916,5
1917,10
1918,8
1919,11
1920,14
1921,5
1922,9
1923,14
1924,10
1925,12
1926,13
1927,8
1928,20
1929,13
1930,12
1931,9
1932,19
1933,15
1934,20
1935,29
1936,28
1937,29
1938,53
1939,63
1940,74
1941,104
1942,225
1943,238
1944,264
1945,332
1946,682
1947,1140
1948,1162
1949,1265
1950,1472
1951,2032
1952,2551
1953,3831
1954,4720
1955,5599
1956,10005
1957,20291
1958,16606
1959,16997
1960,14984
1961,13403
1962,12327
1963,11110
1964,9341
1965,7799
1966,6808
1967,5790
1968,5257
1969,4982
1970,5066
1971,4928
1972,3745
1973,3299
1974,2868
1975,2521
1976,2269
1977,2170
1978,2057
1979,2098
1980,1876
1981,1760
1982,1747
1983,1564
1984,1556
1985,1610
1986,1470
1987,1444
1988,1574
1989,1589
1990,1582
1991,1625
1992,1689
1993,1657
1994,1519
1995,1505
1996,1495
1997,1428
1998,1301
1999,1331
2000,1244
2001,1236
2002,1219
2003,1160
2004,1053
2005,985
2006,881
2007,819
2008,729
2009,566
2010,552
2011,444
2012,367
