year,Crist
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,9
1917,0
1918,5
1919,9
1920,7
1921,8
1922,8
1923,5
1924,8
1925,0
1926,5
1927,9
1928,0
1929,9
1930,5
1931,7
1932,10
1933,9
1934,7
1935,5
1936,0
1937,8
1938,0
1939,9
1940,0
1941,6
1942,5
1943,0
1944,6
1945,6
1946,9
1947,5
1948,7
1949,9
1950,10
1951,14
1952,6
1953,13
1954,6
1955,11
1956,11
1957,10
1958,8
1959,9
1960,13
1961,9
1962,11
1963,15
1964,6
1965,7
1966,9
1967,12
1968,8
1969,7
1970,9
1971,11
1972,8
1973,5
1974,8
1975,11
1976,7
1977,11
1978,9
1979,10
1980,0
1981,11
1982,11
1983,14
1984,8
1985,10
1986,6
1987,0
1988,0
1989,7
1990,11
1991,5
1992,7
1993,7
1994,7
1995,12
1996,8
1997,12
1998,0
1999,0
2000,12
2001,9
2002,9
2003,5
2004,10
2005,11
2006,6
2007,9
2008,6
2009,9
2010,0
2011,7
2012,9
