year,Corwin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,9
1913,17
1914,22
1915,25
1916,20
1917,27
1918,19
1919,25
1920,28
1921,21
1922,26
1923,23
1924,30
1925,28
1926,20
1927,19
1928,16
1929,17
1930,15
1931,15
1932,17
1933,19
1934,18
1935,20
1936,19
1937,24
1938,13
1939,21
1940,18
1941,22
1942,25
1943,21
1944,18
1945,15
1946,19
1947,21
1948,19
1949,17
1950,14
1951,17
1952,24
1953,26
1954,38
1955,29
1956,33
1957,42
1958,41
1959,41
1960,38
1961,46
1962,29
1963,31
1964,33
1965,29
1966,35
1967,31
1968,45
1969,68
1970,73
1971,54
1972,64
1973,45
1974,36
1975,47
1976,42
1977,49
1978,50
1979,56
1980,50
1981,51
1982,50
1983,36
1984,42
1985,34
1986,47
1987,85
1988,96
1989,96
1990,79
1991,86
1992,83
1993,72
1994,66
1995,63
1996,63
1997,47
1998,49
1999,49
2000,61
2001,50
2002,51
2003,65
2004,40
2005,57
2006,44
2007,69
2008,56
2009,54
2010,57
2011,45
2012,51
