year,Cherrie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,0
1892,7
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,6
1904,0
1905,0
1906,6
1907,0
1908,0
1909,7
1910,11
1911,5
1912,8
1913,11
1914,8
1915,16
1916,14
1917,13
1918,13
1919,17
1920,13
1921,14
1922,15
1923,21
1924,11
1925,9
1926,16
1927,22
1928,17
1929,21
1930,26
1931,18
1932,34
1933,22
1934,18
1935,17
1936,17
1937,21
1938,32
1939,25
1940,43
1941,22
1942,29
1943,59
1944,62
1945,44
1946,72
1947,91
1948,82
1949,63
1950,70
1951,73
1952,86
1953,94
1954,88
1955,101
1956,147
1957,125
1958,133
1959,101
1960,120
1961,114
1962,126
1963,104
1964,95
1965,100
1966,75
1967,120
1968,82
1969,106
1970,90
1971,86
1972,84
1973,51
1974,61
1975,67
1976,55
1977,60
1978,37
1979,37
1980,42
1981,46
1982,38
1983,33
1984,28
1985,36
1986,34
1987,29
1988,26
1989,27
1990,16
1991,25
1992,20
1993,12
1994,8
1995,5
1996,10
1997,8
1998,0
1999,10
2000,8
2001,7
2002,10
2003,7
2004,11
2005,6
2006,5
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
