year,Concepcion
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,13
1891,11
1892,10
1893,16
1894,11
1895,9
1896,0
1897,10
1898,10
1899,11
1900,16
1901,11
1902,10
1903,8
1904,13
1905,20
1906,16
1907,12
1908,14
1909,21
1910,32
1911,23
1912,36
1913,39
1914,49
1915,62
1916,65
1917,57
1918,75
1919,71
1920,119
1921,95
1922,93
1923,117
1924,98
1925,127
1926,97
1927,100
1928,100
1929,109
1930,103
1931,98
1932,70
1933,70
1934,79
1935,71
1936,64
1937,61
1938,61
1939,52
1940,54
1941,50
1942,46
1943,52
1944,53
1945,66
1946,67
1947,67
1948,83
1949,91
1950,59
1951,60
1952,59
1953,57
1954,56
1955,58
1956,48
1957,37
1958,61
1959,64
1960,50
1961,68
1962,62
1963,50
1964,75
1965,54
1966,73
1967,53
1968,51
1969,45
1970,73
1971,60
1972,47
1973,71
1974,64
1975,65
1976,54
1977,59
1978,47
1979,61
1980,69
1981,56
1982,64
1983,62
1984,29
1985,40
1986,32
1987,37
1988,44
1989,42
1990,56
1991,40
1992,47
1993,45
1994,41
1995,56
1996,67
1997,51
1998,33
1999,36
2000,37
2001,32
2002,30
2003,35
2004,15
2005,28
2006,26
2007,10
2008,11
2009,11
2010,14
2011,6
2012,0
