year,Charle
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,13
1915,5
1916,0
1917,11
1918,7
1919,7
1920,5
1921,7
1922,12
1923,5
1924,10
1925,13
1926,10
1927,7
1928,15
1929,7
1930,16
1931,12
1932,9
1933,7
1934,6
1935,8
1936,14
1937,12
1938,5
1939,7
1940,10
1941,11
1942,8
1943,12
1944,18
1945,6
1946,7
1947,16
1948,9
1949,15
1950,15
1951,15
1952,17
1953,22
1954,18
1955,14
1956,10
1957,21
1958,19
1959,19
1960,24
1961,17
1962,27
1963,13
1964,20
1965,22
1966,21
1967,15
1968,15
1969,19
1970,18
1971,21
1972,12
1973,12
1974,18
1975,18
1976,13
1977,14
1978,8
1979,15
1980,6
1981,8
1982,9
1983,0
1984,13
1985,5
1986,14
1987,6
1988,7
1989,11
1990,8
1991,7
1992,13
1993,7
1994,6
1995,5
1996,8
1997,7
1998,0
1999,0
2000,5
2001,0
2002,5
2003,0
2004,9
2005,0
2006,0
2007,8
2008,0
2009,5
2010,5
2011,0
2012,0
