year,Coral
1880,0
1881,8
1882,7
1883,12
1884,9
1885,11
1886,13
1887,16
1888,26
1889,14
1890,19
1891,15
1892,17
1893,16
1894,17
1895,18
1896,23
1897,19
1898,21
1899,14
1900,13
1901,9
1902,16
1903,21
1904,13
1905,22
1906,19
1907,13
1908,17
1909,17
1910,13
1911,23
1912,17
1913,29
1914,28
1915,27
1916,61
1917,63
1918,52
1919,52
1920,42
1921,56
1922,56
1923,50
1924,43
1925,50
1926,48
1927,35
1928,51
1929,50
1930,53
1931,42
1932,38
1933,42
1934,41
1935,40
1936,57
1937,47
1938,51
1939,55
1940,33
1941,34
1942,59
1943,49
1944,45
1945,53
1946,73
1947,64
1948,52
1949,53
1950,59
1951,63
1952,60
1953,53
1954,84
1955,92
1956,74
1957,102
1958,89
1959,90
1960,96
1961,82
1962,76
1963,68
1964,58
1965,57
1966,32
1967,39
1968,39
1969,35
1970,38
1971,34
1972,41
1973,35
1974,57
1975,59
1976,67
1977,71
1978,68
1979,87
1980,98
1981,85
1982,87
1983,80
1984,81
1985,106
1986,87
1987,84
1988,79
1989,130
1990,169
1991,196
1992,193
1993,179
1994,180
1995,163
1996,177
1997,173
1998,167
1999,194
2000,160
2001,179
2002,172
2003,190
2004,224
2005,209
2006,211
2007,178
2008,161
2009,151
2010,157
2011,148
2012,163
