year,Cassius
1880,17
1881,9
1882,12
1883,10
1884,6
1885,7
1886,0
1887,5
1888,10
1889,6
1890,7
1891,6
1892,8
1893,8
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,5
1911,0
1912,0
1913,11
1914,9
1915,10
1916,19
1917,17
1918,16
1919,8
1920,16
1921,10
1922,10
1923,16
1924,9
1925,10
1926,13
1927,8
1928,10
1929,10
1930,12
1931,13
1932,5
1933,0
1934,0
1935,6
1936,0
1937,0
1938,5
1939,6
1940,8
1941,7
1942,7
1943,10
1944,9
1945,0
1946,5
1947,0
1948,13
1949,0
1950,6
1951,5
1952,0
1953,0
1954,0
1955,8
1956,6
1957,0
1958,0
1959,9
1960,8
1961,17
1962,15
1963,27
1964,78
1965,42
1966,38
1967,43
1968,20
1969,20
1970,27
1971,36
1972,19
1973,12
1974,17
1975,11
1976,20
1977,13
1978,18
1979,16
1980,11
1981,22
1982,17
1983,19
1984,24
1985,16
1986,26
1987,23
1988,27
1989,25
1990,42
1991,45
1992,44
1993,42
1994,26
1995,34
1996,42
1997,45
1998,52
1999,47
2000,60
2001,59
2002,85
2003,79
2004,95
2005,102
2006,168
2007,163
2008,213
2009,198
2010,193
2011,237
2012,218
