year,Christene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,6
1889,5
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,8
1899,0
1900,0
1901,5
1902,8
1903,8
1904,7
1905,6
1906,7
1907,12
1908,8
1909,10
1910,14
1911,10
1912,12
1913,17
1914,29
1915,38
1916,49
1917,55
1918,60
1919,89
1920,63
1921,76
1922,75
1923,90
1924,99
1925,118
1926,80
1927,92
1928,96
1929,88
1930,99
1931,101
1932,94
1933,70
1934,112
1935,84
1936,74
1937,75
1938,82
1939,79
1940,66
1941,69
1942,75
1943,56
1944,66
1945,53
1946,69
1947,64
1948,74
1949,91
1950,63
1951,62
1952,68
1953,75
1954,51
1955,56
1956,51
1957,55
1958,52
1959,49
1960,60
1961,55
1962,56
1963,46
1964,47
1965,72
1966,51
1967,53
1968,62
1969,78
1970,63
1971,53
1972,68
1973,45
1974,55
1975,51
1976,38
1977,23
1978,27
1979,37
1980,29
1981,28
1982,29
1983,24
1984,35
1985,23
1986,20
1987,20
1988,26
1989,32
1990,23
1991,8
1992,19
1993,5
1994,11
1995,14
1996,9
1997,7
1998,6
1999,0
2000,6
2001,5
2002,6
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,5
2010,0
2011,0
2012,0
