year,Catalina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,8
1894,6
1895,5
1896,7
1897,0
1898,0
1899,0
1900,7
1901,5
1902,0
1903,5
1904,7
1905,10
1906,12
1907,7
1908,11
1909,9
1910,12
1911,16
1912,17
1913,28
1914,25
1915,28
1916,13
1917,49
1918,40
1919,50
1920,63
1921,62
1922,74
1923,64
1924,102
1925,95
1926,92
1927,78
1928,99
1929,88
1930,115
1931,69
1932,65
1933,64
1934,65
1935,55
1936,46
1937,45
1938,43
1939,49
1940,49
1941,37
1942,36
1943,40
1944,39
1945,44
1946,31
1947,46
1948,51
1949,48
1950,43
1951,55
1952,51
1953,52
1954,53
1955,44
1956,53
1957,65
1958,61
1959,62
1960,50
1961,59
1962,65
1963,67
1964,76
1965,85
1966,70
1967,66
1968,67
1969,70
1970,89
1971,96
1972,84
1973,67
1974,104
1975,110
1976,114
1977,118
1978,115
1979,104
1980,129
1981,121
1982,123
1983,116
1984,127
1985,108
1986,123
1987,104
1988,134
1989,217
1990,196
1991,230
1992,219
1993,218
1994,237
1995,199
1996,232
1997,227
1998,220
1999,257
2000,300
2001,310
2002,294
2003,328
2004,340
2005,420
2006,408
2007,410
2008,424
2009,501
2010,417
2011,439
2012,638
