year,Cole
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,5
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,5
1910,6
1911,10
1912,23
1913,19
1914,23
1915,26
1916,25
1917,19
1918,17
1919,22
1920,10
1921,19
1922,18
1923,21
1924,16
1925,18
1926,16
1927,10
1928,15
1929,13
1930,11
1931,16
1932,18
1933,10
1934,18
1935,9
1936,14
1937,12
1938,12
1939,7
1940,10
1941,22
1942,28
1943,22
1944,12
1945,8
1946,18
1947,34
1948,40
1949,30
1950,28
1951,50
1952,43
1953,40
1954,63
1955,63
1956,62
1957,73
1958,73
1959,70
1960,71
1961,98
1962,83
1963,63
1964,64
1965,67
1966,50
1967,53
1968,70
1969,83
1970,100
1971,98
1972,137
1973,160
1974,181
1975,158
1976,142
1977,156
1978,149
1979,161
1980,277
1981,299
1982,817
1983,1127
1984,1180
1985,1183
1986,1077
1987,1010
1988,906
1989,915
1990,1107
1991,1991
1992,2324
1993,2669
1994,3313
1995,3160
1996,3751
1997,5173
1998,5159
1999,5330
2000,5943
2001,5752
2002,6051
2003,5904
2004,5666
2005,5600
2006,5669
2007,5714
2008,5403
2009,5286
2010,4588
2011,4146
2012,3781
