year,Consuelo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,16
1896,19
1897,19
1898,23
1899,11
1900,14
1901,10
1902,18
1903,23
1904,17
1905,13
1906,16
1907,19
1908,25
1909,30
1910,38
1911,57
1912,63
1913,71
1914,85
1915,122
1916,125
1917,177
1918,200
1919,203
1920,262
1921,248
1922,273
1923,327
1924,311
1925,348
1926,347
1927,364
1928,387
1929,332
1930,376
1931,327
1932,251
1933,242
1934,222
1935,187
1936,180
1937,160
1938,174
1939,140
1940,148
1941,152
1942,162
1943,198
1944,210
1945,169
1946,201
1947,219
1948,220
1949,216
1950,230
1951,175
1952,157
1953,144
1954,138
1955,131
1956,144
1957,133
1958,128
1959,117
1960,128
1961,125
1962,121
1963,159
1964,114
1965,134
1966,146
1967,122
1968,139
1969,137
1970,154
1971,283
1972,305
1973,268
1974,247
1975,254
1976,231
1977,184
1978,169
1979,158
1980,160
1981,165
1982,155
1983,162
1984,120
1985,105
1986,107
1987,120
1988,94
1989,100
1990,98
1991,103
1992,94
1993,115
1994,86
1995,89
1996,125
1997,97
1998,77
1999,94
2000,84
2001,72
2002,81
2003,54
2004,52
2005,60
2006,49
2007,49
2008,60
2009,40
2010,26
2011,23
2012,34
