year,Clarinda
1880,7
1881,0
1882,0
1883,6
1884,10
1885,0
1886,7
1887,6
1888,6
1889,5
1890,0
1891,0
1892,0
1893,5
1894,5
1895,10
1896,11
1897,14
1898,9
1899,0
1900,9
1901,9
1902,7
1903,8
1904,7
1905,8
1906,0
1907,8
1908,0
1909,11
1910,8
1911,6
1912,8
1913,11
1914,12
1915,16
1916,8
1917,15
1918,21
1919,17
1920,10
1921,15
1922,12
1923,13
1924,13
1925,10
1926,9
1927,11
1928,9
1929,8
1930,8
1931,11
1932,0
1933,5
1934,8
1935,10
1936,8
1937,11
1938,15
1939,6
1940,9
1941,9
1942,10
1943,12
1944,14
1945,7
1946,10
1947,9
1948,17
1949,21
1950,29
1951,20
1952,35
1953,28
1954,13
1955,32
1956,10
1957,19
1958,20
1959,12
1960,10
1961,21
1962,7
1963,15
1964,21
1965,11
1966,12
1967,12
1968,15
1969,16
1970,18
1971,13
1972,16
1973,27
1974,23
1975,25
1976,26
1977,21
1978,15
1979,17
1980,14
1981,10
1982,9
1983,6
1984,7
1985,13
1986,13
1987,9
1988,9
1989,10
1990,9
1991,9
1992,0
1993,6
1994,5
1995,0
1996,5
1997,0
1998,5
1999,5
2000,5
2001,0
2002,6
2003,0
2004,6
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
