year,Colbert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,5
1913,5
1914,9
1915,9
1916,15
1917,12
1918,10
1919,11
1920,9
1921,10
1922,9
1923,14
1924,13
1925,9
1926,6
1927,8
1928,14
1929,7
1930,5
1931,19
1932,13
1933,12
1934,12
1935,13
1936,14
1937,8
1938,11
1939,13
1940,12
1941,12
1942,10
1943,7
1944,15
1945,12
1946,11
1947,11
1948,11
1949,6
1950,13
1951,10
1952,13
1953,13
1954,17
1955,10
1956,11
1957,10
1958,10
1959,8
1960,5
1961,10
1962,7
1963,5
1964,7
1965,8
1966,8
1967,6
1968,5
1969,6
1970,12
1971,0
1972,11
1973,9
1974,9
1975,6
1976,0
1977,7
1978,7
1979,6
1980,8
1981,0
1982,0
1983,8
1984,10
1985,8
1986,10
1987,0
1988,11
1989,0
1990,5
1991,6
1992,14
1993,6
1994,10
1995,7
1996,7
1997,0
1998,5
1999,6
2000,0
2001,11
2002,8
2003,0
2004,0
2005,8
2006,0
2007,0
2008,0
2009,7
2010,0
2011,0
2012,6
