year,Corina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,5
1896,0
1897,6
1898,5
1899,5
1900,7
1901,11
1902,5
1903,0
1904,0
1905,9
1906,0
1907,7
1908,7
1909,12
1910,13
1911,15
1912,8
1913,13
1914,17
1915,14
1916,21
1917,16
1918,14
1919,23
1920,24
1921,24
1922,25
1923,22
1924,26
1925,27
1926,35
1927,33
1928,31
1929,37
1930,31
1931,44
1932,47
1933,38
1934,41
1935,34
1936,42
1937,47
1938,38
1939,35
1940,33
1941,33
1942,45
1943,31
1944,37
1945,35
1946,40
1947,44
1948,47
1949,36
1950,48
1951,38
1952,53
1953,50
1954,57
1955,71
1956,82
1957,85
1958,65
1959,91
1960,97
1961,270
1962,226
1963,189
1964,239
1965,259
1966,263
1967,266
1968,207
1969,295
1970,284
1971,318
1972,296
1973,312
1974,318
1975,274
1976,269
1977,269
1978,296
1979,296
1980,370
1981,307
1982,281
1983,302
1984,302
1985,293
1986,271
1987,275
1988,330
1989,334
1990,348
1991,378
1992,399
1993,322
1994,391
1995,315
1996,278
1997,253
1998,218
1999,198
2000,199
2001,199
2002,140
2003,163
2004,151
2005,157
2006,134
2007,128
2008,125
2009,90
2010,100
2011,65
2012,74
