year,Corena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,8
1894,5
1895,0
1896,5
1897,0
1898,0
1899,0
1900,10
1901,7
1902,5
1903,0
1904,7
1905,11
1906,5
1907,0
1908,5
1909,7
1910,6
1911,8
1912,7
1913,6
1914,12
1915,17
1916,9
1917,16
1918,21
1919,12
1920,16
1921,18
1922,13
1923,13
1924,15
1925,15
1926,10
1927,15
1928,18
1929,8
1930,11
1931,20
1932,29
1933,24
1934,26
1935,26
1936,18
1937,18
1938,22
1939,13
1940,10
1941,8
1942,10
1943,14
1944,7
1945,8
1946,9
1947,9
1948,5
1949,5
1950,10
1951,0
1952,12
1953,7
1954,5
1955,0
1956,5
1957,7
1958,10
1959,6
1960,8
1961,32
1962,27
1963,11
1964,24
1965,25
1966,25
1967,19
1968,17
1969,22
1970,20
1971,27
1972,23
1973,20
1974,22
1975,14
1976,18
1977,32
1978,19
1979,17
1980,16
1981,27
1982,13
1983,12
1984,11
1985,22
1986,16
1987,11
1988,24
1989,16
1990,20
1991,13
1992,18
1993,11
1994,16
1995,16
1996,19
1997,10
1998,9
1999,13
2000,8
2001,8
2002,6
2003,6
2004,9
2005,8
2006,0
2007,0
2008,13
2009,5
2010,6
2011,0
2012,7
