year,Curry
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,5
1908,0
1909,5
1910,5
1911,0
1912,8
1913,7
1914,11
1915,15
1916,15
1917,13
1918,15
1919,22
1920,18
1921,15
1922,12
1923,16
1924,13
1925,15
1926,9
1927,18
1928,5
1929,11
1930,10
1931,11
1932,11
1933,16
1934,8
1935,15
1936,11
1937,15
1938,10
1939,14
1940,10
1941,21
1942,13
1943,22
1944,20
1945,11
1946,8
1947,12
1948,15
1949,9
1950,23
1951,13
1952,15
1953,21
1954,13
1955,10
1956,10
1957,17
1958,13
1959,14
1960,18
1961,16
1962,19
1963,17
1964,12
1965,14
1966,13
1967,17
1968,15
1969,20
1970,30
1971,25
1972,29
1973,26
1974,26
1975,17
1976,28
1977,34
1978,13
1979,34
1980,17
1981,21
1982,22
1983,23
1984,19
1985,23
1986,17
1987,11
1988,21
1989,19
1990,27
1991,17
1992,22
1993,22
1994,24
1995,17
1996,8
1997,11
1998,12
1999,18
2000,10
2001,17
2002,5
2003,10
2004,0
2005,5
2006,5
2007,6
2008,0
2009,8
2010,5
2011,0
2012,5
