year,Creed
1880,7
1881,0
1882,0
1883,7
1884,8
1885,0
1886,0
1887,6
1888,5
1889,0
1890,0
1891,6
1892,8
1893,0
1894,6
1895,0
1896,0
1897,7
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,6
1909,0
1910,12
1911,6
1912,5
1913,11
1914,8
1915,23
1916,22
1917,20
1918,22
1919,26
1920,20
1921,20
1922,32
1923,19
1924,25
1925,19
1926,27
1927,21
1928,23
1929,17
1930,15
1931,18
1932,11
1933,13
1934,19
1935,14
1936,11
1937,16
1938,8
1939,11
1940,13
1941,10
1942,12
1943,14
1944,13
1945,10
1946,12
1947,18
1948,10
1949,16
1950,11
1951,11
1952,12
1953,15
1954,13
1955,8
1956,0
1957,20
1958,7
1959,12
1960,15
1961,12
1962,9
1963,0
1964,7
1965,6
1966,10
1967,0
1968,10
1969,15
1970,10
1971,13
1972,8
1973,13
1974,10
1975,7
1976,12
1977,21
1978,8
1979,10
1980,14
1981,0
1982,8
1983,7
1984,10
1985,10
1986,7
1987,13
1988,15
1989,9
1990,13
1991,13
1992,16
1993,10
1994,14
1995,21
1996,15
1997,15
1998,19
1999,35
2000,54
2001,89
2002,59
2003,69
2004,57
2005,60
2006,66
2007,67
2008,76
2009,93
2010,89
2011,74
2012,116
