year,Charlton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,7
1891,0
1892,5
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,6
1906,6
1907,0
1908,0
1909,6
1910,0
1911,6
1912,12
1913,14
1914,5
1915,21
1916,24
1917,21
1918,20
1919,22
1920,16
1921,19
1922,22
1923,21
1924,25
1925,16
1926,15
1927,12
1928,18
1929,10
1930,7
1931,21
1932,13
1933,17
1934,12
1935,11
1936,6
1937,17
1938,10
1939,23
1940,12
1941,18
1942,11
1943,14
1944,9
1945,12
1946,12
1947,18
1948,17
1949,13
1950,15
1951,9
1952,16
1953,32
1954,45
1955,46
1956,46
1957,44
1958,52
1959,60
1960,45
1961,52
1962,51
1963,52
1964,60
1965,42
1966,43
1967,49
1968,35
1969,40
1970,59
1971,82
1972,49
1973,46
1974,59
1975,76
1976,44
1977,58
1978,39
1979,49
1980,53
1981,46
1982,45
1983,45
1984,50
1985,51
1986,60
1987,53
1988,55
1989,57
1990,48
1991,43
1992,47
1993,47
1994,41
1995,50
1996,20
1997,31
1998,34
1999,35
2000,39
2001,39
2002,25
2003,37
2004,23
2005,42
2006,32
2007,20
2008,36
2009,32
2010,21
2011,26
2012,20
